Name, Calories, Protein_gm, Fiber_gm, Ingredients, Veg/Non-Veg, Steps,Photo
Ras Malai,250,7,4, Paneer Milk Sugar, Veg, Soak paneer in sweetened milk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXa6O9xpr1i3EEgRPvYyLU7CGBT7wnx5hl8A&s
Kothimbir Bhaji,200,6,5, Coriander Flour Spices, Veg, Cook coriander leaves in spiced batter,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnAeUcc2EYEdTygQ5vOCzIbQUNRJG6otHQXA&s
Vegetable Ramen,350,12,5, Noodles Mixed Vegetables Spices, Veg, Cook noodles with spiced vegetables,https://peasandcrayons.com/wp-content/uploads/2021/05/veggie-ramen-soup-recipe-4.jpg
Dumplings,250,8,5, Flour Mixed Vegetables Spices, Veg, Fill dumplings with spiced vegetables and steam,"https://hips.hearstapps.com/hmg-prod/images/delish-202210-soupdumplings-182-1665605386.jpg?crop=0.888888888888889xw:1xh;center,top&resize=1200:*"
Biryani Pulao,450,15,5, Rice Mixed Vegetables Spices, Veg, Cook rice with mixed vegetables and spices,https://i.ytimg.com/vi/Do7ZdUodDdw/hq720.jpg?sqp=-oaymwEXCK4FEIIDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBPsfuVk99MJWOHUAsII7oqo525jA
Paneer Bhurji,300,20,5, Paneer Onion Spices, Veg, Scramble paneer with onions and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGNFgJoOofgCOWN4h_2Qb8WPeOYWauZ9vQbg&s
Methi Thepla,250,8,4, Whole Wheat Flour Fenugreek Spices, Veg, Cook spiced fenugreek flatbread,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBaXfuYWLveMJRuWflDM2eXqtsmXvQiR67wA&s
Tomato Rice,400,12,5, Rice Tomatoes Spices, Veg, Cook rice with tomatoes and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/08/tomato-rice-recipe.jpg
Cabbage Sabzi,200,5,3, Cabbage Spices, Veg, Cook cabbage with spices until tender,https://cdn.tarladalal.com/members/9306/procstepimgs/step-18_cabbage-sabzi-18-201140.jpg
Paneer Jalfrezi,400,20,5, Paneer Mixed Peppers Spices, Veg, Stir-fry paneer with mixed peppers and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/05/paneer-jalfrezi-recipe.jpg
Khoya Methi,300,10,5, Khoya Fenugreek Spices, Veg, Cook khoya with fenugreek and spices,https://img-global.cpcdn.com/recipes/a42bad2dc1eefb6a/680x482cq70/khoya-methi-matar-recipe-main-photo.jpg
Methi Chutney,150,4,2, Fenugreek Tamarind Spices, Veg, Blend fenugreek with tamarind and spices,https://manjulaskitchen.com/wp-content/uploads/methi_fenugreek_chutney.jpg
Tomato Chutney,100,2,1, Tomatoes Spices, Veg, Cook tomatoes with spices until soft,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYiIJj7IYg7Y9YbdQSsyuqC2pXLy2nhG6RRA&s
Vegetable Uthappam,300,8,5, Rice Flour Mixed Vegetables Spices, Veg, Cook thick dosa with mixed vegetables,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrCKYPeqTOjGZcPiehGv0y4X2RPnvF6knRA&s
Prawn Biryani,600,30,5, Basmati Rice Prawns Spices, Non-Veg, Layer prawns with rice and spices,https://www.cubesnjuliennes.com/wp-content/uploads/2020/12/Prawn-Biryani-Recipe.jpg
Vegetable Masala Dosa,400,12,5, Rice Flour Potatoes Spices, Veg, Fill dosa with spiced potato mixture,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiWPMGiJK4ZEXAwLEy5LdIRxrbmkCnEkCXvw&s
Stuffed Paratha,350,10,5, Whole Wheat Flour Potatoes Spices, Veg, Stuff paratha with spiced potatoes and fry,https://www.indianhealthyrecipes.com/wp-content/uploads/2020/08/aloo-paratha-recipe-500x500.jpg
Methi Malai Murg,500,30,4, Chicken Fenugreek Cream Spices, Non-Veg, Cook chicken in creamy fenugreek sauce,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpoWEvH6ln7ZY5wum7Td7LEGpD234j3sQe4g&s
Vegetable Nihari,500,30,5, Mixed Vegetables Spices, Veg, Slow-cook vegetables in rich gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQutS6ANocwKcfDmIIUHg3NDISQdMIOy7OLdg&s
Khichuri,300,10,5, Rice Lentils Spices, Veg, Cook rice and lentils with spices,https://i0.wp.com/spicechronicles.com/wp-content/uploads/2012/11/Khi_1.jpg?resize=640%2C640&ssl=1
Kheer,300,7,5, Rice Milk Sugar, Veg, Cook rice in sweetened milk until soft,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/06/kheer-recipe.jpg
Mutton Pulao,600,25,5, Basmati Rice Mutton Spices, Non-Veg, Cook mutton with rice and spices,https://untoldrecipesbynosheen.com/wp-content/uploads/2023/08/mutton-pulao-featured.jpg
Vegetable Korma,400,10,5, Mixed Vegetables Cream Spices, Veg, Cook mixed vegetables in creamy gravy,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/03/veg-kurma-vegetable-korma-recipe-500x375.jpg
Masala Chai,100,3,0, Tea Spices Milk, Veg, Boil tea with spices and milk,https://budleaf.com/wp-content/uploads/2023/04/How-to-make-masala-chai-1568x1039.jpeg
Beetroot Raita,150,4,2, Yogurt Beetroot Spices, Veg, Mix yogurt with grated beetroot and spices,https://mygoodfoodworld.com/wp-content/uploads/2023/03/beet-raita.jpg
Bhindi Do Pyaza,250,6,4, Okra Onions Spices, Veg, Cook okra with onions and spices,https://foodsandflavorsbyshilpi.com/wp-content/uploads/2014/09/FB-Thumnails-website-old-96.jpg
Vegetable Curry,400,10,5, Mixed Vegetables Spices, Veg, Cook mixed vegetables in spiced gravy,https://www.recipetineats.com/tachyon/2017/07/Vegetable-Curry.jpg?resize=500%2C500
Sweet Lassi,200,5,2, Yogurt Sugar, Veg, Blend yogurt with sugar until smooth,https://www.indianveggiedelight.com/wp-content/uploads/2023/01/sweet-lassi-recipe-featured.jpg
Rajma Chawal,400,12,5, Kidney Beans Rice Spices, Veg, Serve kidney beans with rice,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrY-YDbNH_JLFnMOh26A1l7WKFgORHz6C3uQ&s
Vegetable Stir Fry,350,10,5, Mixed Vegetables Spices, Veg, Stir-fry vegetables in spices,https://www.dinneratthezoo.com/wp-content/uploads/2019/02/vegetable-stir-fry-3.jpg
Coconut Rice,400,12,5, Rice Coconut Spices, Veg, Cook rice with coconut and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/05/coconut-rice-recipe.jpg
Vegetable Sandwich,250,8,5, Bread Mixed Vegetables Spices, Veg, Fill bread with spiced vegetables,https://shwetainthekitchen.com/wp-content/uploads/2020/08/IMG_9973.jpg
Egg Bhurji,300,25,5, Eggs Onion Spices, Non-Veg, Scramble eggs with onions and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgpDPizX6nGLyzXnHWHrHm6J38ac1u0mGgYw&s
Palak Chole,350,15,5, Spinach Chickpeas Spices, Veg, Cook chickpeas with spinach and spices,https://www.whiskaffair.com/wp-content/uploads/2014/08/Palak-Chole-1.jpg
Paneer Kofta,400,20,5, Paneer Spices, Veg, Deep fry paneer balls and cook in gravy,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/06/malai-kofta-recipe.jpg
Khichdi,300,12,5, Rice Lentils Spices, Veg, Cook rice and lentils with spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2018/07/khichdi-recipe.jpg
Vegetable Kebab,300,10,5, Mixed Vegetables Spices, Veg, Shape spiced vegetable mixture into kebabs and grill,https://www.allrecipes.com/thmb/KBVMWciO-GJsEKnVOcUFvBDrOWk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/229166-grilled-veggie-skewers-DDMFS-013-4x3-38df5f3275934280a930c09d660a332c.jpg
Daal Baati,400,10,5, Wheat Flour Lentils Spices, Veg, Serve baked bread with lentil curry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsDudpDlsGkfzS1TjptYN1ZH3wgidCSx-pxQ&s
Tamarind Rice,400,10,5, Rice Tamarind Spices, Veg, Mix rice with tamarind and spices,https://www.vegrecipesofindia.com/wp-content/uploads/2016/10/tamarind-rice-recipe-1.jpg
Gajar Ka Halwa,300,5,3, Carrots Milk Sugar, Veg, Cook grated carrots in sweetened milk,https://www.nestleprofessional.in/sites/default/files/2022-09/Gajar-Halwa_0.jpg
Vegetable Sandwich,250,8,5, Bread Mixed Vegetables Spices, Veg, Fill bread with spiced vegetables,https://bachelorrecipe.com/wp-content/uploads/2018/05/Vegetable-Sandwich.jpg
Vegetable Chowmein,350,10,5, Noodles Mixed Vegetables Spices, Veg, Stir-fry noodles with mixed vegetables,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSf6Eiul5ng8yPi4V67BNpqmPF4BYbLUHDlGQ&s
Pani Puri,200,5,4, Semolina Spices, Veg, Fill puris with spiced water,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Pani_Puri1.JPG/640px-Pani_Puri1.JPG
Seviyan,250,5,2, Vermicelli Milk Sugar, Veg, Cook vermicelli in sweetened milk,https://www.teaforturmeric.com/wp-content/uploads/2021/05/20-Minute-Seviyan-Sheer-Khurma-13.jpg
Vegetable Biryani,450,10,5, Basmati Rice Mixed Vegetables Spices, Veg, Layer rice with mixed vegetables and spices,https://www.indianveggiedelight.com/wp-content/uploads/2020/04/veg-biryani-instant-pot.jpg
Paneer Paratha,300,20,5, Whole Wheat Flour Paneer Spices, Veg, Stuff paratha with spiced paneer and fry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4MqBRWVa_AnJo64xO_28iBlFlDMekF_xz8A&s
Daal Methi,300,12,5, Lentils Fenugreek Spices, Veg, Cook lentils with fenugreek and spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0XxLZiwFMHGv29jHiFrArn35h62u7oYbVTw&s
Palak Roti,250,8,5, Whole Wheat Flour Spinach Spices, Veg, Roll dough with spinach and cook on tawa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTO9dOhTbXMbNIbtRS1yPtjUMtlWvlHrGTrgA&s
Paneer Malai,400,20,5, Paneer Cream Spices, Veg, Cook paneer in creamy gravy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqqWv-gS1aqcE2OXOfp33IOarUwRtzSOW8hA&s
Aloo Chaat,200,5,3, Potatoes Spices, Veg, Toss fried potatoes with spices,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQh42o-x-FfvCiNrod_F8lT9AJK21TlEaTEhg&s
Vegetable Sagu,350,10,5, Mixed Vegetables Spices, Veg, Cook mixed vegetables in rich gravy,https://rakskitchen.net/wp-content/uploads/2022/01/veg-sagu.jpg
Masala Dosa,400,10,5, Rice Flour Potatoes Spices, Veg, Fill dosa with spiced potatoes,https://revi.b-cdn.net/wp-content/uploads/2017/03/masala-dosa-2.jpg
Chicken Seekh Kebab,400,25,3, Chicken Spices, Non-Veg, Shape minced chicken and grill,https://www.cookwithnabeela.com/wp-content/uploads/2024/02/ChickenSeekhKebab.webp
Chole Tikki,300,10,5, Chickpeas Potatoes Spices, Veg, Mash chickpeas and potatoes into patties and fry,https://www.vegrecipesofindia.com/wp-content/uploads/2012/12/aloo-tikki-chole-recipe-5.jpg
Vegetable Pulao,400,10,5, Basmati Rice Mixed Vegetables Spices, Veg, Cook rice with mixed vegetables and spices,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/04/veg-pulao-recipe.jpg
Paneer Quesadilla,300,15,5, Tortilla Paneer Spices, Veg, Fill tortilla with spiced paneer and grill,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Chilli_Paneer_Quesadillas-3.jpg
Rajma Salad,200,6,3, Kidney Beans Vegetables Spices, Veg, Mix kidney beans with vegetables and spices,https://palatesdesire.com/wp-content/uploads/2022/09/rajma-salad-recipe@palates-desire.jpg
